
Class                 FriendlyName                                                  InstanceId                         
-----                 ------------                                                  ----------                         
USB                   USB Composite Device                                          USB\VID_0456&PID_B673\5&68EE1F5&0&3
SoftwareComponent     DTS APO4x Service Component                                   SWD\DRIVERENUM\{B410CF85-2754-43...
USB                   USB Serial Converter B                                        USB\VID_0403&PID_6010&MI_01\6&22...
USB                   USB Mass Storage Device                                       USB\VID_0456&PID_B673&MI_02\6&1D...
WPD                   PlutoSDR                                                      SWD\WPDBUSENUM\_??_USBSTOR#DISK&...
System                Microsoft ACPI-Compliant Embedded Controller                  ACPI\PNP0C09\1                     
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
Battery               Microsoft ACPI-Compliant Control Method Battery               ACPI\PNP0C0A\1                     
USB                   USB Composite Device                                          USB\VID_0403&PID_6010\AUQSDHWMXART 
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
Ports                 PlutoSDR Serial Console (COM3)                                USB\VID_0456&PID_B673&MI_03\6&1D...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Realtek OVWrap2 Component                                     SWD\DRIVERENUM\{C3A63EDD-2D27-4B...
AudioProcessingObject Realtek Audio Effects Component (INT)                         SWD\DRIVERENUM\{C3A63EDD-2D27-4B...
System                Composite Bus Enumerator                                      ROOT\COMPOSITEBUS\0000             
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
AudioProcessingObject Realtek Audio Effects Component (INT)                         SWD\DRIVERENUM\{12D32D00-C5BF-4A...
SoftwareComponent     Intel(R) Dynamic Tuning Technology Device Extension Component SWD\DRIVERENUM\{BC7814A1-A80E-44...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
HIDClass              HID-compliant vendor-defined device                           HID\GVINPUT&COL04\1&2D595CA7&0&0003
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
Bluetooth             Bluetooth Device (RFCOMM Protocol TDI)                        BTH\MS_RFCOMM\6&D9C1463&0&0        
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
System                Intel(R) Serial IO I2C Host Controller - 7A4C                 PCI\VEN_8086&DEV_7A4C&SUBSYS_8D3...
System                Intel(R) Serial IO GPIO Host Controller - INTC1085            ACPI\INTC1085\2&DABA3FF&1          
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
System                PCI Express Root Complex                                      ACPI\PNP0A08\0                     
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
HIDClass              HID-compliant vendor-defined device                           HID\GVINPUT&COL05\1&2D595CA7&0&0004
System                Microsoft ACPI-Compliant System                               ACPI_HAL\PNP0C08\0                 
USB                   USB Composite Device                                          USB\VID_0408&PID_548D\200901010001 
System                Microsoft UEFI-Compliant System                               ACPI_HAL\UEFI\0                    
Net                   PlutoSDR USB Ethernet/RNDIS Gadget                            USB\VID_0456&PID_B673&MI_00\6&1D...
USBDevice             IIO                                                           USB\VID_0456&PID_B673&MI_05\6&1D...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
Mouse                 HID-compliant mouse                                           HID\GVINPUT&COL01\1&2D595CA7&0&0000
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
AudioProcessingObject Realtek Audio Effects Component                               SWD\DRIVERENUM\{C3A63EDD-2D27-4B...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
USB                   USB Serial Converter A                                        USB\VID_0403&PID_6010&MI_00\6&22...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
AudioProcessingObject DTS Audio Effects Component                                   SWD\DRIVERENUM\{B410CF85-2754-43...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
Mouse                 HID-compliant mouse                                           HID\GVINPUT&COL02\1&2D595CA7&0&0001
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
Ports                 USB Serial Port (COM5)                                        FTDIBUS\VID_0403+PID_6010+AUQSDH...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...
SoftwareComponent     Intel(R) XTU Component Device                                 SWD\DRIVERENUM\{D6711452-0DD6-4A...


