
Class     FriendlyName                                       Status InstanceId
-----     ------------                                       ------ ----------
USBDevice IIO                                                OK     USB\VID_0456&PID_B673&MI_05\7&D82FAEF&0&0005
System    Intel(R) Serial IO GPIO Host Controller - INTC1085 OK     ACPI\INTC1085\2&DABA3FF&1
System    Intel(R) Serial IO I2C Host Controller - 7A4C      OK     PCI\VEN_8086&DEV_7A4C&SUBSYS_8D3F103C&REV_11\3&1...
WPD       PlutoSDR                                           OK     SWD\WPDBUSENUM\_??_USBSTOR#DISK&VEN_LINUX&PROD_F...
Ports     PlutoSDR Serial Console (COM6)                     OK     USB\VID_0456&PID_B673&MI_03\7&D82FAEF&0&0003
Net       PlutoSDR USB Ethernet/RNDIS Gadget #2              OK     USB\VID_0456&PID_B673&MI_00\7&D82FAEF&0&0000
USB       USB Composite Device                               OK     USB\VID_0403&PID_6010\AUQSDHWMXART
USB       USB Composite Device                               OK     USB\VID_0456&PID_B673\6&A47735F&0&3
USB       USB Composite Device                               OK     USB\VID_0403&PID_6010\CKQCQFHQPUJB
USB       USB Mass Storage Device                            OK     USB\VID_0456&PID_B673&MI_02\7&D82FAEF&0&0002
USB       USB Serial Converter A                             OK     USB\VID_0403&PID_6010&MI_00\6&22933E0A&0&0000
USB       USB Serial Converter A                             OK     USB\VID_0403&PID_6010&MI_00\6&262E04C5&0&0000
USB       USB Serial Converter B                             OK     USB\VID_0403&PID_6010&MI_01\6&22933E0A&0&0001
USB       USB Serial Converter B                             OK     USB\VID_0403&PID_6010&MI_01\6&262E04C5&0&0001
Ports     USB Serial Port (COM4)                             OK     FTDIBUS\VID_0403+PID_6010+CKQCQFHQPUJBB\0000
Ports     USB Serial Port (COM5)                             OK     FTDIBUS\VID_0403+PID_6010+AUQSDHWMXARTB\0000
